słowo,angielskie tłumaczenie
dom,house
samochód,car
pies,dog
kot,cat
drzewo,tree
kwiat,flower
książka,book
telefon,phone
komputer,computer
biuro,office
szkoła,school
jedzenie,food
woda,water
piwo,beer
wino,wine
kawa,coffee
herbata,tea
miasto,city
kraj,country
świat,world
człowiek,human
kobieta,woman
dziecko,child
mężczyzna,man
kochać,love
chcieć,want
potrzebować,need
myśleć,think
widzieć,see
słyszeć,hear
robić,do
mówić,speak
pisać,write
czytać,read
uczyć się,learn
pracować,work
grać,play
tańczyć,dance
śpiewać,sing
słuchać,listen
oglądać,watch
podróżować,travel
rozmawiać,talk
odpoczywać,rest
spać,sleep
jeść,eat
pić,drink
wychodzić,go out
wchodzić,come in
spotykać się,meet
witać,greet
pożegnać się,say goodbye
kupować,buy
sprzedawać,sell
płacić,pay
brać,take
dawać,give
czekać,wait
otwierać,open
zamykać,close
myć,wash
gotować,cook
sprzątać,clean
pracować w ogrodzie,garden
grać w gry,play games
oglądać filmy,watch movies
słuchać muzyki,listen music
czytać książki,read books
uczyć się języków,learn languages
pracować w grupie,work in a group
biegać,run
pływać,swim
jeździć na rowerze,ride a bike
jeździć na nartach,ski
uprawiać jogę,do yoga
malować,paint
rysować,draw
muzyka,music
film,movie
telewizja,television
internet,internet
praca,job
pieniądze,money
czas,time
życie,life
rodzina,family
przyjaciel,friend
miłość,love
szczęście,happiness
smutek,sadness
zdrowie,health
choroba,illness
lekarz,doctor
apteka,pharmacy
szpital,hospital
medycyna,medicine
nauka,science
sztuka,art
religia,religion
